ID.ornitho.ch	ID.Espèce.Biolovision	Espèce	Nom.scientifique	Famille	Date	Jour	Mois	Année	Heure.début	Heure.fin	Commune	Département	Type.de.localisation	Altitude	Nombre
601652	371	Mésange bleue	Cyanistes caeruleus	Paridae	14.01.2014	14	1	2014	0.48958333333333331	0.5	Bouquehault	62	Jardin	82	2
601658	371	Mésange bleue	Cyanistes caeruleus	Paridae	14.01.2014	14	1	2014	0.59375	0.59722222222222221	Verquin	62	Jardin	32	1
601808	371	Mésange bleue	Cyanistes caeruleus	Paridae	14.01.2014	14	1	2014	0.33333333333333331	0.375	Auchy-les-Mines	62	Jardin	28	5
601990	371	Mésange bleue	Cyanistes caeruleus	Paridae	14.01.2014	14	1	2014	0.6875	0.72222222222222221	Saint-Martin-du-Bois	33	Jardin	31	3
602328	371	Mésange bleue	Cyanistes caeruleus	Paridae	14.01.2014	14	1	2014	0.39583333333333331	0.58333333333333337	Vieil-Moutier	62	Jardin	202	8
604553	371	Mésange bleue	Cyanistes caeruleus	Paridae	14.01.2014	14	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	3
609530	371	Mésange bleue	Cyanistes caeruleus	Paridae	14.01.2014	14	1	2014	0.61805555555555558	0.625	Lillers	62	Jardin	29	2
602871	371	Mésange bleue	Cyanistes caeruleus	Paridae	15.01.2014	15	1	2014	0.49305555555555558	0.49652777777777773	Haillan (Le)	33	Jardin	21	1
602948	371	Mésange bleue	Cyanistes caeruleus	Paridae	15.01.2014	15	1	2014	0.54166666666666663	0.55902777777777779	Saint-Martin-du-Bois	33	Jardin	31	7
602981	371	Mésange bleue	Cyanistes caeruleus	Paridae	15.01.2014	15	1	2014	0.38541666666666669	0.39583333333333331	Bouquehault	62	Jardin	79	1
602986	371	Mésange bleue	Cyanistes caeruleus	Paridae	15.01.2014	15	1	2014	0.36458333333333331	0.38541666666666669	Bouquehault	62	Jardin	82	2
603134	371	Mésange bleue	Cyanistes caeruleus	Paridae	15.01.2014	15	1	2014	0.45833333333333331	0.5	Pihem	62	Jardin	114	5
603705	371	Mésange bleue	Cyanistes caeruleus	Paridae	15.01.2014	15	1	2014	0.54166666666666663	0.625	Vieil-Moutier	62	Jardin	202	9
604562	371	Mésange bleue	Cyanistes caeruleus	Paridae	15.01.2014	15	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	2
605141	371	Mésange bleue	Cyanistes caeruleus	Paridae	15.01.2014	15	1	2014	0.55555555555555558	0.56597222222222221	Salignac	33	Jardin	40	1
606369	371	Mésange bleue	Cyanistes caeruleus	Paridae	15.01.2014	15	1	2014	0.5625	0.58333333333333337	Arques	62	Jardin	17	1
604217	371	Mésange bleue	Cyanistes caeruleus	Paridae	16.01.2014	16	1	2014	0.51041666666666663	0.54166666666666663	Bouquehault	62	Jardin	82	1
604267	371	Mésange bleue	Cyanistes caeruleus	Paridae	16.01.2014	16	1	2014	0.45833333333333331	0.54166666666666663	Andernos-les-Bains	33	Jardin	13	1
604418	371	Mésange bleue	Cyanistes caeruleus	Paridae	16.01.2014	16	1	2014	0.58333333333333337	0.61458333333333337	Pihem	62	Jardin	114	4
604568	371	Mésange bleue	Cyanistes caeruleus	Paridae	16.01.2014	16	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	1
605595	371	Mésange bleue	Cyanistes caeruleus	Paridae	16.01.2014	16	1	2014	0.66666666666666663	0.67361111111111116	Vieil-Moutier	62	Jardin	202	5
609535	371	Mésange bleue	Cyanistes caeruleus	Paridae	16.01.2014	16	1	2014	0.47916666666666669	0.48958333333333331	Lillers	62	Jardin	29	2
605164	371	Mésange bleue	Cyanistes caeruleus	Paridae	17.01.2014	17	1	2014	0.51041666666666663	0.54166666666666663	Bouquehault	62	Jardin	82	1
605172	371	Mésange bleue	Cyanistes caeruleus	Paridae	17.01.2014	17	1	2014	0.53819444444444442	0.54513888888888895	Hames-Boucres	62	Jardin	8	1
605579	371	Mésange bleue	Cyanistes caeruleus	Paridae	17.01.2014	17	1	2014	0.4861111111111111	0.5	Vieil-Moutier	62	Jardin	202	8
605664	371	Mésange bleue	Cyanistes caeruleus	Paridae	17.01.2014	17	1	2014	0.5	0.52083333333333337	Coutras	33	Jardin	19	2
605783	371	Mésange bleue	Cyanistes caeruleus	Paridae	17.01.2014	17	1	2014	0.375	0.58333333333333337	Fampoux	62	Jardin	48	8
605805	371	Mésange bleue	Cyanistes caeruleus	Paridae	17.01.2014	17	1	2014	0.375	0.58333333333333337	Fampoux	62	Jardin	48	8
605882	371	Mésange bleue	Cyanistes caeruleus	Paridae	17.01.2014	17	1	2014	0.5	0.58333333333333337	Maisnil-lès-Ruitz	62	Jardin	115	2
