date	jour	mois	année	Pas-de-Calais.(62)	Gironde.(33)
42065	2	3	2015	6.94166666666667	11.9416666666667
42066	3	3	2015	6.47083333333333	10.1895833333333
42067	4	3	2015	6.475	8.01666666666667
42068	5	3	2015	6.67083333333333	6.71458333333333
42069	6	3	2015	7.9625	8.03958333333333
42070	7	3	2015	9.3875	10.6104166666667
42071	8	3	2015	9.325	9.40208333333333
42072	9	3	2015	8.82083333333333	10.9104166666667
42073	10	3	2015	9.075	11.0104166666667
42074	11	3	2015	7.2875	12.5416666666667
42075	12	3	2015	8.69583333333333	11.00625
42076	13	3	2015	7.5	9.66875
42077	14	3	2015	4.65416666666667	7.76041666666667
42078	15	3	2015	5.62916666666667	8.16875
42079	16	3	2015	7.3125	9.24791666666667
42080	17	3	2015	9.23333333333333	10.1416666666667
42081	18	3	2015	6.975	12.1041666666667
42082	19	3	2015	6.575	12.2354166666667
42083	20	3	2015	6.06666666666666	8.49166666666667
42084	21	3	2015	6.37916666666667	11.0479166666667
42085	22	3	2015	5.975	9.14375
42086	23	3	2015	4.73333333333333	10.49375
42087	24	3	2015	5.58333333333333	7.67916666666667
42088	25	3	2015	5.7375	6.60625
42089	26	3	2015	6.25416666666667	7.52708333333333
42090	27	3	2015	8.01666666666667	11.0833333333333
42091	28	3	2015	9.46666666666667	12.04375
42092	29	3	2015	10.6086956521739	12.0760869565217
42093	30	3	2015	9.0625	12.5895833333333
42094	31	3	2015	11.0541666666667	12.1916666666667
42095	1	4	2015	8.0375	10.0729166666667
42096	2	4	2015	7.8875	9.95833333333333
42097	3	4	2015	7.64166666666667	9.75
42098	4	4	2015	7.55	10.9854166666667
42099	5	4	2015	6.67916666666667	10.5583333333333
42100	6	4	2015	6.3625	11.3375
42101	7	4	2015	8.95833333333333	13.2416666666667
42102	8	4	2015	10.2041666666667	12.8541666666667
42103	9	4	2015	10.4541666666667	13.0979166666667
42104	10	4	2015	13.7125	13.1
42105	11	4	2015	11.8208333333333	14.1166666666667
42106	12	4	2015	10.8375	15.3604166666667
42107	13	4	2015	12.0833333333333	18.0645833333333
42108	14	4	2015	15.0583333333333	19.1666666666667
42109	15	4	2015	18.1583333333333	19.4854166666667
42110	16	4	2015	12.7666666666667	16.1395833333333
42111	17	4	2015	10.4583333333333	14.5583333333333
